exp,finished,hyperparameter1,hyperparameter2,details
2022_9_29_labia_v0/,1,,,epoch_1
2022_9_30_labia_v0/,1,,,epoch_1
2022_9_30_labia_v1/,1,,,epoch_5
2022_9_30_labia_v2/,0,,,epoch_5
2022_9_30_labia_v3/,1,,,epoch_8
2022_9_30_labia_v4/,1,,,epoch_10
2022_9_30_labia_v5/,1,,,epoch_10
2022_9_30_labia_v6/,1,,,epoch_20
2022_9_30_labia_v7/,1,,,epoch_15
2022_10_1_labia_v0/,1,,,epoch_50
2022_10_2_labia_v0/,1,,,epoch_12
2022_10_2_labia_v1/,1,,,dropout_035
2022_10_3_labia_v0/,0,,,dropout050
2022_10_3_labia_v1/,0,,,architecture_50_25_10
2022_10_3_labia_v2/,1,,,dropout050
2022_10_3_labia_v3/,1,,,architecture_50_25_10
2022_10_3_labia_v4/,0,,,dropout050
2022_10_3_labia_v5/,0,,,dropout050
2022_10_3_labia_v6/,1,,,architecture_50_20
2022_10_3_labia_v7/,0,,,dropout050
2022_10_3_labia_v8/,1,,,batch_32
2022_10_3_labia_v9/,1,,,batch_64
2022_10_4_labia_v0/,1,,,batch_256
2022_10_4_labia_v1/,1,,,lr005
2022_10_4_labia_v2/,1,,,batch_64
2022_10_4_labia_v3/,0,,,dropout050
2022_10_4_labia_v4/,0,,,dropout050
2022_10_4_labia_v5/,0,,,dropout050
2022_10_4_labia_v6/,0,,,dropout050
2022_10_4_labia_v7/,0,,,dropout050
2022_10_4_labia_v8/,1,,,RMSprop
2022_10_4_labia_v9/,0,,,dropout050
2022_10_4_labia_v10/,0,,,dropout050
2022_10_4_labia_v11/,0,,,dropout050
2022_10_4_labia_v12/,0,,,dropout050
2022_10_4_labia_v13/,0,,,dropout050
2022_10_4_labia_v14/,1,,,Nadam
2022_10_4_labia_v15/,1,,,lossparam08
2022_10_4_labia_v16/,1,,,input_2
2022_10_4_labia_v17/,1,,,input_3
2022_10_4_labia_v18/,1,,,input_4
2022_10_5_labia_v0/,1,,,input_5
2022_10_5_labia_v1/,1,,,input_6
2022_10_5_labia_v2/,1,,,input_7
2022_10_7_labia_v0/,1,,,input_8
2022_10_7_labia_v1/,1,,,input_9
2022_10_7_labia_v2/,0,,,lossparam08
2022_10_7_labia_v3/,1,,,lossparam08
2022_10_7_labia_v4/,1,,,input_9
2022_10_7_labia_v5/,1,,,input_10
2022_10_7_labia_v6/,1,,,input_11
2022_10_7_labia_v7/,1,,,input_12
2022_10_7_labia_v8/,1,,,input_13
2022_10_7_labia_v9/,1,,,input_14
2022_10_8_labia_v0/,1,,,input_15
2022_10_10_labia_v0/,1,,,input2
2022_10_10_labia_v1/,1,,,10_25_50
2022_10_10_labia_v2/,1,,,25_10_50
2022_10_10_labia_v3/,1,,,20_50
2022_10_10_labia_v4/,1,,,25_50_75_20
2022_10_10_labia_v5/,1,,,epoch1
2022_10_10_labia_v6/,1,,,epoch5
2022_10_10_labia_v7/,1,,,lr_decay
2022_10_11_labia_v0/,0,,,mae
2022_10_11_labia_v1/,1,,,mae
2022_10_11_labia_v2/,1,,,mse_power
2022_10_11_labia_v3/,0,,,test_input_var_mse
2022_10_11_labia_v4/,1,,,test_input_var_mse
2022_10_13_labia_v0/,1,,,test_with_other_stations
2022_10_13_labia_v1/,1,,,stations_v3
2022_10_13_labia_v2/,1,,,stations_v4
2022_10_25_labia_v0/,1,,,standard
2022_10_25_labia_v1/,0,,,devine_with_correct_mean_elevation
2022_10_25_labia_v2/,0,,,devine_with_correct_mean_elevation
2022_10_25_labia_v3/,0,,,devine_with_correct_mean_elevation
2022_10_26_labia_v0/,0,,,devine_with_correct_mean_elevation
2022_10_26_labia_v1/,0,,,devine_with_correct_mean_elevation
2022_10_26_labia_v2/,0,,,devine_with_correct_mean_elevation
2022_10_26_labia_v3/,0,,,standard
2022_10_26_labia_v4/,1,,,standard
2022_10_26_labia_v5/,0,,,stations_v3
2022_10_26_labia_v6/,0,,,stations_v4
2022_10_26_labia_v7/,0,,,20_50
2022_10_26_labia_v8/,0,,,standard
2022_10_26_labia_v9/,0,,,pinball008
2022_10_26_labia_v10/,0,,,mse
2022_10_26_labia_v11/,0,,,mse_proportional
2022_10_26_labia_v12/,1,,,standard
2022_10_26_labia_v13/,1,,,pinball008
2022_10_26_labia_v14/,1,,,mse
2022_10_26_labia_v15/,1,,,mse_proportional
2022_10_26_labia_v16/,1,,,archi_50_25_10
2022_10_26_labia_v17/,1,,,archi_50_20
2022_10_26_labia_v18/,1,,,archi_10_25_50
2022_10_26_labia_v19/,1,,,archi_25_10_50
2022_10_26_labia_v20/,1,,,archi_20_50
2022_10_26_labia_v21/,1,,,archi_25_50_75_20
2022_10_26_labia_v22/,1,,,input2
2022_10_26_labia_v23/,1,,,dropout035
2022_10_26_labia_v24/,1,,,dropout05
2022_10_26_labia_v25/,1,,,batch_size32
2022_10_26_labia_v26/,1,,,batchsize64
2022_10_26_labia_v27/,1,,,batchsize256
2022_10_26_labia_v28/,1,,,input3
2022_10_26_labia_v29/,1,,,epoch1
2022_10_26_labia_v30/,1,,,epoch8
2022_10_26_labia_v31/,1,,,epoch10
2022_10_27_labia_v0/,1,,,inputs4
2022_10_27_labia_v1/,1,,,inputs5
2022_10_27_labia_v2/,1,,,inputs6
2022_10_27_labia_v3/,1,,,inputs7
2022_10_27_labia_v4/,0,,,inputs8
2022_10_27_labia_v5/,0,,,inputs9
2022_10_27_labia_v6/,0,,,inputs10
2022_10_27_labia_v7/,0,,,inputs11
