exp,finished,details,MAE_nn,MAE_a,RMSE_nn,RMSE_a,MB_n,MB_a,MAE_AROME,MAE_int,MAE_D,MAE_A,RMSE_AROME,RMSE_int,RMSE_D,RMSE_A,MB_AROME,MB_nn,MB_int,MB_D,MB_A,corr_AROME,corr_nn,corr_int,corr_D,corr_A
2022_10_26_labia_v12/,1,standard,1.191,,1.664,,,,1.341,1.221,1.292,1.178,1.919,1.747,1.81,1.711,-0.139,-0.006,-0.149,-0.026,-0.148,0.6,0.705,0.671,0.662,0.688
2022_10_26_labia_v13/,1,pinball008,1.184,,1.656,,,,1.341,1.213,1.292,1.178,1.919,1.738,1.81,1.711,-0.139,-0.022,-0.166,-0.026,-0.148,0.6,0.709,0.675,0.662,0.688
2022_10_26_labia_v14/,1,mse,1.19,,1.659,,,,1.341,1.227,1.292,1.178,1.919,1.758,1.81,1.711,-0.139,-0.02,-0.157,-0.026,-0.148,0.6,0.706,0.667,0.662,0.688
2022_10_26_labia_v15/,1,mse_proportional,1.183,,1.654,,,,1.341,1.222,1.292,1.178,1.919,1.753,1.81,1.711,-0.139,-0.03,-0.164,-0.026,-0.148,0.6,0.708,0.67,0.662,0.688
2022_10_26_labia_v16/,1,archi_50_25_10,1.186,,1.667,,,,1.341,1.221,1.292,1.178,1.919,1.755,1.81,1.711,-0.139,-0.079,-0.212,-0.026,-0.148,0.6,0.704,0.672,0.662,0.688
2022_10_26_labia_v17/,1,archi_50_20,1.189,,1.667,,,,1.341,1.214,1.292,1.178,1.919,1.736,1.81,1.711,-0.139,-0.022,-0.168,-0.026,-0.148,0.6,0.705,0.678,0.662,0.688
2022_10_26_labia_v18/,1,archi_10_25_50,1.184,,1.664,,,,1.341,1.211,1.292,1.178,1.919,1.74,1.81,1.711,-0.139,-0.062,-0.208,-0.026,-0.148,0.6,0.706,0.678,0.662,0.688
2022_10_26_labia_v19/,1,archi_25_10_50,1.179,,1.668,,,,1.341,1.2,1.292,1.178,1.919,1.733,1.81,1.711,-0.139,-0.11,-0.258,-0.026,-0.148,0.6,0.708,0.683,0.662,0.688
2022_10_26_labia_v20/,1,archi_20_50,1.194,,1.666,,,,1.341,1.208,1.292,1.178,1.919,1.721,1.81,1.711,-0.139,0.008,-0.144,-0.026,-0.148,0.6,0.705,0.685,0.662,0.688
2022_10_26_labia_v21/,1,archi_25_50_75_20,1.183,,1.67,,,,1.341,1.216,1.292,1.178,1.919,1.753,1.81,1.711,-0.139,-0.05,-0.187,-0.026,-0.148,0.6,0.706,0.668,0.662,0.688
2022_10_26_labia_v22/,1,input2,1.263,,1.743,,,,1.341,1.317,1.292,1.178,1.919,1.871,1.81,1.711,-0.139,0.072,-0.038,-0.026,-0.148,0.6,0.669,0.602,0.662,0.688
2022_10_26_labia_v23/,1,dropout035,1.189,,1.661,,,,1.341,1.229,1.292,1.178,1.919,1.768,1.81,1.711,-0.139,-0.034,-0.168,-0.026,-0.148,0.6,0.705,0.662,0.662,0.688
2022_10_26_labia_v24/,1,dropout05,1.196,,1.677,,,,1.341,1.239,1.292,1.178,1.919,1.789,1.81,1.711,-0.139,-0.054,-0.184,-0.026,-0.148,0.6,0.699,0.652,0.662,0.688
2022_10_26_labia_v25/,1,batch_size32,1.189,,1.667,,,,1.341,1.221,1.292,1.178,1.919,1.748,1.81,1.711,-0.139,-0.023,-0.156,-0.026,-0.148,0.6,0.704,0.67,0.662,0.688
2022_10_26_labia_v26/,1,batchsize64,1.187,,1.66,,,,1.341,1.218,1.292,1.178,1.919,1.743,1.81,1.711,-0.139,-0.004,-0.148,-0.026,-0.148,0.6,0.707,0.673,0.662,0.688
2022_10_26_labia_v27/,1,batchsize256,1.184,,1.655,,,,1.341,1.222,1.292,1.178,1.919,1.753,1.81,1.711,-0.139,-0.031,-0.169,-0.026,-0.148,0.6,0.708,0.67,0.662,0.688
2022_10_26_labia_v28/,1,input3,1.176,,1.646,,,,1.341,1.217,1.292,1.178,1.919,1.754,1.81,1.711,-0.139,-0.032,-0.157,-0.026,-0.148,0.6,0.711,0.669,0.662,0.688
2022_10_26_labia_v29/,1,epoch1,1.192,,1.657,,,,1.341,1.232,1.292,1.178,1.919,1.759,1.81,1.711,-0.139,-0.01,-0.145,-0.026,-0.148,0.6,0.707,0.667,0.662,0.688
2022_10_26_labia_v30/,1,epoch8,1.186,,1.658,,,,1.341,1.216,1.292,1.178,1.919,1.741,1.81,1.711,-0.139,-0.017,-0.16,-0.026,-0.148,0.6,0.708,0.674,0.662,0.688
2022_10_26_labia_v31/,1,epoch10,1.187,,1.659,,,,1.341,1.215,1.292,1.178,1.919,1.736,1.81,1.711,-0.139,-0.0,-0.144,-0.026,-0.148,0.6,0.708,0.676,0.662,0.688
2022_10_27_labia_v0/,1,inputs4,1.195,,1.668,,,,1.341,1.214,1.292,1.178,1.919,1.729,1.81,1.711,-0.139,0.009,-0.13,-0.026,-0.148,0.6,0.704,0.679,0.662,0.688
2022_10_27_labia_v1/,1,inputs5,1.182,,1.655,,,,1.341,1.214,1.292,1.178,1.919,1.74,1.81,1.711,-0.139,-0.027,-0.167,-0.026,-0.148,0.6,0.71,0.674,0.662,0.688
2022_10_27_labia_v2/,1,inputs6,1.185,,1.658,,,,1.341,1.219,1.292,1.178,1.919,1.747,1.81,1.711,-0.139,-0.03,-0.17,-0.026,-0.148,0.6,0.708,0.672,0.662,0.688
2022_10_27_labia_v3/,1,inputs7,1.186,,1.664,,,,1.341,1.217,1.292,1.178,1.919,1.746,1.81,1.711,-0.139,-0.036,-0.179,-0.026,-0.148,0.6,0.706,0.672,0.662,0.688
2022_10_27_labia_v4/,0,inputs8,,,,,,,,,,,,,,,,,,,,,,,,
2022_10_27_labia_v5/,0,inputs9,,,,,,,,,,,,,,,,,,,,,,,,
2022_10_27_labia_v6/,0,inputs10,,,,,,,,,,,,,,,,,,,,,,,,
2022_10_27_labia_v7/,0,inputs11,,,,,,,,,,,,,,,,,,,,,,,,
